plant,country,reactors,latitude,longitude
PERRY,UNITED STATES OF AMERICA,1,41.8011,-81.1433
PHILIPPSBURG,GERMANY,2,49.25279,8.436948
PICKERING,CANADA,8,43.810436,-79.065926
PILGRIM,UNITED STATES OF AMERICA,1,41.9444,-70.5794
PIQUA,UNITED STATES OF AMERICA,1,40.132317,-84.234767
POINT BEACH,UNITED STATES OF AMERICA,2,44.2808,-87.5361
POINT LEPREAU,CANADA,1,45.068694,-66.454582
PRAIRIE ISLAND,UNITED STATES OF AMERICA,2,44.6194,-92.6331
QINSHAN,CHINA,9,30.435681,120.947735
QUAD CITIES,UNITED STATES OF AMERICA,2,41.7261,-90.31
R.E. GINNA,UNITED STATES OF AMERICA,1,43.277653,-77.309254
RAJASTHAN,INDIA,8,24.872911,75.620019
RANCHO SECO-1,UNITED STATES OF AMERICA,1,38.345278,-121.121667
RHEINSBERG,GERMANY,1,53.146992,12.99015
RINGHALS,SWEDEN,4,57.260141,12.111538
RIVER BEND,UNITED STATES OF AMERICA,1,30.7572,-91.3317
ROLPHTON NPD,CANADA,1,46.186667,-77.657778
ROVNO,UKRAINE,4,51.328086,25.89903
SAINT LAURENT,FRANCE,2,47.72,1.5775
SALEM,UNITED STATES OF AMERICA,2,39.4628,-75.5358
SAN ONOFRE,UNITED STATES OF AMERICA,3,33.3703,-117.557
SANMEN,CHINA,2,29.101111,121.641944
SANTA MARIA DE GARONA,SPAIN,1,42.774412,-3.206815
SAXTON,UNITED STATES OF AMERICA,1,40.226944,-78.241944
SEABROOK,UNITED STATES OF AMERICA,1,42.8981,-70.8514
SELLAFIELD,UNITED KINGDOM,5,54.4205,-3.4975
SENDAI,JAPAN,2,31.833542,130.189984
SEQUOYAH,UNITED STATES OF AMERICA,2,35.2233,-85.0878
SHEARON HARRIS,UNITED STATES OF AMERICA,1,35.6333,-78.9561
SHIKA,JAPAN,2,37.05999,136.726869
SHIMANE,JAPAN,3,35.539583,132.997495
SHIN-WOLSONG,"KOREA, REPUBLIC OF",2,35.721747,129.478471
SHIPPINGPORT,UNITED STATES OF AMERICA,1,40.621111,-80.435278
SHOREHAM,UNITED STATES OF AMERICA,1,40.961111,-72.865
SIZEWELL,UNITED KINGDOM,3,52.215,1.61972
SMOLENSK,RUSSIAN FEDERATION,3,54.1667,33.2333
SOUTH TEXAS,UNITED STATES OF AMERICA,2,28.795,-96.0481
SOUTH UKRAINE,UKRAINE,3,47.812171,31.217726
ST. ALBAN,FRANCE,2,45.405,4.75556
ST. LAURENT,FRANCE,2,47.7203,1.57917
ST. LUCIE,UNITED STATES OF AMERICA,2,27.3486,-80.2464
STADE,GERMANY,1,53.62,9.530833
SURRY,UNITED STATES OF AMERICA,2,37.1656,-76.6983
SUSQUEHANNA,UNITED STATES OF AMERICA,2,41.0917,-76.1486
TAISHAN,CHINA,2,21.917778,112.981944
TAKAHAMA,JAPAN,4,35.522563,135.504677
TARAPUR,INDIA,4,19.828785,72.661201
TEMELIN,CZECH REPUBLIC,2,49.176113,14.3819
THREE MILE ISLAND,UNITED STATES OF AMERICA,2,40.1531,-76.725
THTR,GERMANY,1,51.679167,7.971667
TIANWAN,CHINA,2,34.687468,119.459851
TIHANGE,BELGIUM,3,50.533374,5.273377
TOKAI,JAPAN,2,36.466624,140.609604
TOMARI,JAPAN,3,43.03592,140.513203
TORNESS,UNITED KINGDOM,2,55.968423,-2.408406
TRAWSFYNYDD,UNITED KINGDOM,2,52.924864,-3.948439
TRICASTIN,FRANCE,4,44.3297,4.73222
TRILLO,SPAIN,1,40.700464,-2.623286
TROJAN,UNITED STATES OF AMERICA,1,46.038333,-122.885
TSURUGA,JAPAN,2,35.7497,136.021
TURKEY POINT,UNITED STATES OF AMERICA,2,25.435,-80.3314
ULCHIN,"KOREA, REPUBLIC OF",6,37.093025,129.383285
UNTERWESER,GERMANY,1,53.4277,8.480197
VAK KAHL,GERMANY,1,50.059119,8.987278
VALLECITOS,UNITED STATES OF AMERICA,1,37.613267,-121.840164
VANDELLOS,SPAIN,2,40.950996,0.866517
VERMONT YANKEE,UNITED STATES OF AMERICA,1,42.7803,-72.5158
VILYUCHINSK,RUSSIAN FEDERATION,2,59.931389,30.258056
VIRGIL C. SUMMER,UNITED STATES OF AMERICA,1,34.2958,-81.3203
VOGTLE,UNITED STATES OF AMERICA,2,33.1419,-81.7647
VOLGODONSK,RUSSIAN FEDERATION,4,47.599342,42.371878
WATERFORD,UNITED STATES OF AMERICA,1,29.995,-90.4711
WATTS BAR,UNITED STATES OF AMERICA,2,35.6028,-84.7903
WINFRITH,UNITED KINGDOM,1,50.682,-2.261
WOLF CREEK,UNITED STATES OF AMERICA,1,38.2389,-95.6889
WOLSONG,"KOREA, REPUBLIC OF",4,35.711463,129.474808
WUERGASSEN (KWW),GERMANY,1,51.639167,9.391389
WYLFA,UNITED KINGDOM,2,53.4167,-4.48333
YANGJIANG,CHINA,3,21.708333,112.261111
YANKEE,UNITED STATES OF AMERICA,1,42.727839,-72.929108
YONGGWANG,"KOREA, REPUBLIC OF",6,35.41113,126.41619
ZAPOROZHE,UKRAINE,6,47.511809,34.58546
ZION,UNITED STATES OF AMERICA,2,42.446428,-87.803003
